번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
233.0,3급,내내,부사,일 년 내내
234.0,3급,내달,명사,내달 초
235.0,3급,내려놓다,동사,책을 내려놓다
236.0,3급,내보내다,동사,밖으로 내보내다
237.0,3급,내성적01/내성적02,관형사/명사,내성적 성격
238.0,3급,내주다,동사,거스름돈을 내주다
239.0,3급,내후년,명사,내후년이 지나다
240.0,3급,낼모레02/낼모레01,부사/명사,내일 모레
241.0,3급,냉동,명사,냉동 창고
242.0,3급,냉방,명사,냉방과 난방
243.0,3급,냉정하다01,형용사,성격이 냉정하다
244.0,3급,널다,동사,빨래를 널다
245.0,3급,널리,부사,널리 알려지다
246.0,3급,넓이,명사,넓이를 재다
247.0,3급,넘어가다,동사,나무가 넘어가다
248.0,3급,넘어서다,동사,산을 넘어서다
249.0,3급,년대,의존명사,이천 년대
250.0,3급,노랑,명사,색
251.0,3급,노선,명사,지하철 노선
252.0,3급,노선도,명사,버스 노선도
253.0,3급,노약자,명사,노약자를 보호하다
254.0,3급,노트북,명사,노트북 컴퓨터
255.0,3급,녹다,동사,얼음이 녹다
256.0,3급,녹음02,명사,녹음을 듣다
257.0,3급,녹음기,명사,녹음기로 녹음하다
258.0,3급,놀이공원,명사,놀이공원에 가다
259.0,3급,놀이터,명사,놀이터에서 놀다
260.0,3급,농부,명사,농부가 씨를 뿌리다
261.0,3급,농사01,명사,농사를 짓다
262.0,3급,높아지다,동사,파도가 높아지다
263.0,3급,높이다,동사,건물을 높이다
264.0,3급,높임말,명사,높임말을 쓰다
265.0,3급,놓이다,동사,마음이 놓이다
266.0,3급,놓치다,동사,손을 놓치다
267.0,3급,눈가,명사,눈가에 바르다
268.0,3급,눈병,명사,눈병에 걸리다
269.0,3급,눈부시다,형용사,조명이 눈부시다
270.0,3급,눈사람,명사,눈사람을 만들다
271.0,3급,눈싸움02,명사,눈싸움 놀이
272.0,3급,늘리다,동사,규모를 늘리다
273.0,3급,늘어나다,동사,사람이 늘어나다
